prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.6,4400,30,4,25,140,0.5455,0.8824,0.9722,0.6742
0.6,4500,28,4,27,140,0.5091,0.875,0.9722,0.6437
0.6,4600,26,4,29,140,0.4727,0.8667,0.9722,0.6118
0.6,4700,24,4,31,140,0.4364,0.8571,0.9722,0.5783
0.6,4800,24,4,31,140,0.4364,0.8571,0.9722,0.5783
0.6,4900,21,2,34,142,0.3818,0.913,0.9861,0.5385
0.6,5000,18,2,37,142,0.3273,0.9,0.9861,0.48
0.65,0,55,115,0,29,1.0,0.3235,0.2014,0.4889
0.65,100,55,106,0,38,1.0,0.3416,0.2639,0.5093
0.65,200,55,101,0,43,1.0,0.3526,0.2986,0.5213
0.65,300,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.65,400,55,99,0,45,1.0,0.3571,0.3125,0.5263
0.65,500,55,95,0,49,1.0,0.3667,0.3403,0.5366
0.65,600,55,91,0,53,1.0,0.3767,0.3681,0.5473
0.65,700,55,86,0,58,1.0,0.3901,0.4028,0.5612
0.65,800,55,83,0,61,1.0,0.3986,0.4236,0.5699
0.65,900,55,80,0,64,1.0,0.4074,0.4444,0.5789
0.65,1000,55,74,0,70,1.0,0.4264,0.4861,0.5978
0.65,1100,55,68,0,76,1.0,0.4472,0.5278,0.618
0.65,1200,55,64,0,80,1.0,0.4622,0.5556,0.6322
0.65,1300,55,60,0,84,1.0,0.4783,0.5833,0.6471
0.65,1400,54,57,1,87,0.9818,0.4865,0.6042,0.6506
0.65,1500,53,52,2,92,0.9636,0.5048,0.6389,0.6625
0.65,1600,53,45,2,99,0.9636,0.5408,0.6875,0.6928
0.65,1700,53,39,2,105,0.9636,0.5761,0.7292,0.7211
0.65,1800,53,37,2,107,0.9636,0.5889,0.7431,0.731
0.65,1900,52,32,3,112,0.9455,0.619,0.7778,0.7482
0.65,2000,50,30,5,114,0.9091,0.625,0.7917,0.7407
0.65,2100,48,28,7,116,0.8727,0.6316,0.8056,0.7328
0.65,2200,47,23,8,121,0.8545,0.6714,0.8403,0.752
0.65,2300,45,21,10,123,0.8182,0.6818,0.8542,0.7438
0.65,2400,44,18,11,126,0.8,0.7097,0.875,0.7521
0.65,2500,44,17,11,127,0.8,0.7213,0.8819,0.7586
0.65,2600,43,17,12,127,0.7818,0.7167,0.8819,0.7478
0.65,2700,43,14,12,130,0.7818,0.7544,0.9028,0.7679
0.65,2800,43,12,12,132,0.7818,0.7818,0.9167,0.7818
0.65,2900,43,10,12,134,0.7818,0.8113,0.9306,0.7963
0.65,3000,43,9,12,135,0.7818,0.8269,0.9375,0.8037
0.65,3100,39,8,16,136,0.7091,0.8298,0.9444,0.7647
0.65,3200,38,8,17,136,0.6909,0.8261,0.9444,0.7525
0.65,3300,38,7,17,137,0.6909,0.8444,0.9514,0.76
0.65,3400,36,6,19,138,0.6545,0.8571,0.9583,0.7423
0.65,3500,36,6,19,138,0.6545,0.8571,0.9583,0.7423
0.65,3600,34,6,21,138,0.6182,0.85,0.9583,0.7158
0.65,3700,33,5,22,139,0.6,0.8684,0.9653,0.7097
0.65,3800,32,4,23,140,0.5818,0.8889,0.9722,0.7033
0.65,3900,29,4,26,140,0.5273,0.8788,0.9722,0.6591
0.65,4000,27,4,28,140,0.4909,0.871,0.9722,0.6279
0.65,4100,25,4,30,140,0.4545,0.8621,0.9722,0.5952
0.65,4200,22,4,33,140,0.4,0.8462,0.9722,0.5432
0.65,4300,21,2,34,142,0.3818,0.913,0.9861,0.5385
0.65,4400,20,2,35,142,0.3636,0.9091,0.9861,0.5195
0.65,4500,18,2,37,142,0.3273,0.9,0.9861,0.48
0.65,4600,17,2,38,142,0.3091,0.8947,0.9861,0.4595
0.65,4700,17,2,38,142,0.3091,0.8947,0.9861,0.4595
0.65,4800,17,2,38,142,0.3091,0.8947,0.9861,0.4595
0.65,4900,17,2,38,142,0.3091,0.8947,0.9861,0.4595
0.65,5000,16,2,39,142,0.2909,0.8889,0.9861,0.4384
0.7,0,55,115,0,29,1.0,0.3235,0.2014,0.4889
